UPTIME,CONTAINER ID,NAME,CPU %,MEM USAGE,MEM LIMIT,MEM %, NET I,NET O,BLOCK I,BLOCK O,PIDS
15:24:18,75a89fc8edde,geo-diff-work_updater,0.00%,13274972,209715200,6.33%,918,232,3030000,0,2
15:24:18,31067ca021e4,geo-diff-work_updater,0.00%,13746831,209715200,6.56%,918,232,3130000,0,2
15:24:18,de422d36a366,geo-diff-work_admin-worker,0.00%,24641536,419430400,5.87%,918,232,11300000,0,5
15:24:18,cf03a1e6aea8,geo-diff-work_dealer,13.68%,38860226,209715200,18.53%,810,0,26900000,0,2
15:24:18,ec9e751316aa,geo-diff-work_rabbitmq-server,52.44%,68241326,536870912,12.71%,1250,492,20700000,0,83
15:24:27,75a89fc8edde,geo-diff-work_updater,0.00%,13673431,209715200,6.52%,1490,316,3030000,0,2
15:24:27,31067ca021e4,geo-diff-work_updater,0.00%,13841203,209715200,6.60%,1490,316,3130000,0,2
15:24:27,de422d36a366,geo-diff-work_admin-worker,0.00%,26455572,419430400,6.31%,1490,316,11300000,0,5
15:24:27,cf03a1e6aea8,geo-diff-work_dealer,14.31%,117021081,209715200,55.80%,1300,0,126000000,0,2
15:24:27,ec9e751316aa,geo-diff-work_rabbitmq-server,49.02%,125199974,536870912,23.32%,2950,1840,32299999,12300,86
15:24:34,75a89fc8edde,geo-diff-work_updater,0.00%,13505658,209715200,6.44%,1840,464,3190000,0,2
15:24:34,31067ca021e4,geo-diff-work_updater,0.00%,13369344,209715200,6.38%,1840,464,3320000,0,2
15:24:34,de422d36a366,geo-diff-work_admin-worker,0.00%,24903680,419430400,5.94%,1840,464,11300000,0,5
15:24:34,cf03a1e6aea8,geo-diff-work_dealer,13.47%,123207680,209715200,58.77%,1540,0,182000000,0,2
15:24:34,ec9e751316aa,geo-diff-work_rabbitmq-server,50.60%,114085068,536870912,21.24%,4070,2650,47600000,111000,86
15:24:42,75a89fc8edde,geo-diff-work_updater,0.01%,13621002,209715200,6.49%,3740,2170,3190000,0,2
15:24:42,31067ca021e4,geo-diff-work_updater,0.01%,13484687,209715200,6.43%,3600,2300,3430000,0,2
15:24:42,de422d36a366,geo-diff-work_admin-worker,0.00%,25071452,419430400,5.98%,5510,3710,11500000,0,5
15:24:42,cf03a1e6aea8,geo-diff-work_dealer,31.82%,167772160,209715200,80.02%,2850,1190,278000000,0,2
15:24:42,ec9e751316aa,geo-diff-work_rabbitmq-server,0.31%,114923929,536870912,21.40%,259000,54000,48200000,127000,86
15:24:50,75a89fc8edde,geo-diff-work_updater,0.00%,13358858,209715200,6.37%,3890,2170,3190000,0,2
15:24:50,31067ca021e4,geo-diff-work_updater,0.00%,13233029,209715200,6.31%,3760,2300,3430000,0,2
15:24:50,de422d36a366,geo-diff-work_admin-worker,0.00%,24662507,419430400,5.88%,5990,4030,11600000,0,5
15:24:50,cf03a1e6aea8,geo-diff-work_dealer,31.57%,175951052,209715200,83.92%,3010,1190,384000000,0,2
15:24:50,ec9e751316aa,geo-diff-work_rabbitmq-server,0.20%,115028787,536870912,21.43%,262000,57600,48200000,127000,86
15:24:58,75a89fc8edde,geo-diff-work_updater,0.01%,13149143,209715200,6.27%,3890,2170,3190000,0,2
15:24:58,31067ca021e4,geo-diff-work_updater,0.01%,13170114,209715200,6.28%,3760,2300,3430000,0,2
15:24:58,de422d36a366,geo-diff-work_admin-worker,0.31%,24358420,419430400,5.81%,6180,4350,11800000,0,5
15:24:58,cf03a1e6aea8,geo-diff-work_dealer,28.24%,179411353,209715200,85.56%,3010,1190,488000000,0,2
15:24:58,ec9e751316aa,geo-diff-work_rabbitmq-server,0.23%,111568486,536870912,20.79%,263000,57700,48300000,127000,86
15:25:05,75a89fc8edde,geo-diff-work_updater,0.00%,13117685,209715200,6.26%,3890,2170,3190000,0,2
15:25:05,31067ca021e4,geo-diff-work_updater,0.00%,13138657,209715200,6.27%,3760,2300,3430000,0,2
15:25:05,de422d36a366,geo-diff-work_admin-worker,0.00%,24295505,419430400,5.79%,6280,4520,11800000,0,5
15:25:05,cf03a1e6aea8,geo-diff-work_dealer,28.36%,172176179,209715200,82.10%,3080,1250,580000000,0,2
15:25:05,ec9e751316aa,geo-diff-work_rabbitmq-server,0.23%,110100480,536870912,20.50%,263000,57900,48300000,127000,86
15:25:13,75a89fc8edde,geo-diff-work_updater,12.49%,15781068,209715200,7.53%,39000000,64900,3190000,0,2
15:25:13,31067ca021e4,geo-diff-work_updater,12.42%,15382609,209715200,7.33%,38800000,60300,3530000,0,2
15:25:13,de422d36a366,geo-diff-work_admin-worker,12.80%,23414702,419430400,5.58%,102000,19500,12000000,0,5
15:25:13,cf03a1e6aea8,geo-diff-work_dealer,0.00%,81914757,209715200,39.06%,54600,3460000,600000000,0,2
15:25:13,ec9e751316aa,geo-diff-work_rabbitmq-server,24.48%,220830105,536870912,41.14%,88000000,82800000,71500000,83800000,86
15:25:21,75a89fc8edde,geo-diff-work_updater,17.31%,16777216,209715200,8.00%,92800000,137000,3190000,0,2
15:25:21,31067ca021e4,geo-diff-work_updater,16.21%,15864954,209715200,7.57%,91900000,135000,3530000,0,2
15:25:21,de422d36a366,geo-diff-work_admin-worker,14.87%,23110615,419430400,5.51%,205000,38700,12000000,0,5
15:25:21,cf03a1e6aea8,geo-diff-work_dealer,9.01%,67454894,209715200,32.17%,147000,10300000,607000000,0,2
15:25:21,ec9e751316aa,geo-diff-work_rabbitmq-server,30.80%,214748364,536870912,40.01%,184000000,177000000,84400000,179000000,86
15:25:29,75a89fc8edde,geo-diff-work_updater,0.00%,18056478,209715200,8.61%,136000000,196000,3190000,0,2
15:25:29,31067ca021e4,geo-diff-work_updater,0.00%,17553162,209715200,8.37%,134000000,193000,3530000,0,2
15:25:29,de422d36a366,geo-diff-work_admin-worker,0.00%,23110615,419430400,5.51%,282000,53200,12000000,0,5
15:25:29,cf03a1e6aea8,geo-diff-work_dealer,4.71%,67287121,209715200,32.08%,206000,15800000,611000000,0,2
