UPTIME,CONTAINER ID,NAME,CPU %,MEM USAGE,MEM LIMIT,MEM %, NET I,NET O,BLOCK I,BLOCK O,PIDS
13:48:50,bb72ca872e14,geo-diff-work_worker,0.00%,24851251,419430400,5.92%,1240,368,4100,0,2
13:48:50,7dc55d3d05ca,geo-diff-work_worker,0.00%,26948403,419430400,6.43%,1240,368,8770000,0,2
13:48:50,2be0790a8a77,geo-diff-work_worker,0.00%,24861736,419430400,5.93%,1240,368,0,0,2
13:48:58,bb72ca872e14,geo-diff-work_worker,0.00%,25417482,419430400,6.06%,1750,642,4100,0,2
13:48:58,7dc55d3d05ca,geo-diff-work_worker,0.00%,27504148,419430400,6.56%,1750,642,8770000,0,2
13:48:58,2be0790a8a77,geo-diff-work_worker,0.50%,25427968,419430400,6.06%,1750,642,0,0,2
13:49:06,bb72ca872e14,geo-diff-work_worker,0.00%,25417482,419430400,6.06%,1870,684,4100,0,2
13:49:06,7dc55d3d05ca,geo-diff-work_worker,0.00%,27504148,419430400,6.56%,1870,684,8770000,0,2
13:49:06,2be0790a8a77,geo-diff-work_worker,0.00%,25427968,419430400,6.06%,1870,684,0,0,2
13:49:13,bb72ca872e14,geo-diff-work_worker,12.91%,29150412,419430400,6.95%,208000,2290000,4100,0,2
13:49:13,7dc55d3d05ca,geo-diff-work_worker,11.70%,31299993,419430400,7.46%,187000,1860000,8770000,0,2
13:49:13,2be0790a8a77,geo-diff-work_worker,7.79%,28804382,419430400,6.87%,98100,768000,0,0,2
13:49:21,bb72ca872e14,geo-diff-work_worker,11.45%,29192355,419430400,6.96%,682000,9220000,4100,0,3
13:49:21,2be0790a8a77,geo-diff-work_worker,0.00%,0,0,0.00%,0,0,0,0,0
13:49:21,44f1a5602e51,geo-diff-work_worker,17.87%,27074232,419430400,6.45%,73200,1200000,4100,0,2
13:49:21,536c02ee1b72,geo-diff-work_worker,26.55%,27598520,419430400,6.58%,44900,432000,0,0,3
13:49:30,536c02ee1b72,geo-diff-work_worker,9.39%,28374466,419430400,6.76%,550000,8800000,0,0,3
13:49:30,44f1a5602e51,geo-diff-work_worker,12.12%,28594667,419430400,6.82%,672000,11300000,4100,0,2
13:49:30,bb72ca872e14,geo-diff-work_worker,0.00%,29559357,419430400,7.05%,1220000,18600000,4100,0,2
13:49:37,536c02ee1b72,geo-diff-work_worker,0.01%,28762439,419430400,6.86%,1250000,18200000,0,0,2
13:49:37,44f1a5602e51,geo-diff-work_worker,0.00%,28710010,419430400,6.84%,1360000,20400000,4100,0,2
13:49:37,bb72ca872e14,geo-diff-work_worker,6.39%,29790044,419430400,7.10%,1990000,29000000,4100,0,2
13:49:45,536c02ee1b72,geo-diff-work_worker,0.00%,28783411,419430400,6.86%,2040000,27000000,0,0,2
13:49:45,44f1a5602e51,geo-diff-work_worker,14.08%,28825354,419430400,6.87%,2210000,29700000,4100,0,2
13:49:45,bb72ca872e14,geo-diff-work_worker,0.00%,29863444,419430400,7.12%,2750000,37400000,4100,0,2
13:49:52,536c02ee1b72,geo-diff-work_worker,3.94%,29087498,419430400,6.93%,2890000,36200000,0,0,2
13:49:52,44f1a5602e51,geo-diff-work_worker,3.24%,29045555,419430400,6.92%,2980000,38100000,4100,0,2
13:49:52,bb72ca872e14,geo-diff-work_worker,14.60%,30010245,419430400,7.16%,3630000,46900000,4100,0,2
13:50:00,536c02ee1b72,geo-diff-work_worker,11.93%,29213327,419430400,6.97%,3470000,45400000,0,0,2
13:50:00,44f1a5602e51,geo-diff-work_worker,12.93%,29160898,419430400,6.95%,3550000,46800000,4100,0,2
13:50:08,536c02ee1b72,geo-diff-work_worker,17.26%,29349642,419430400,7.00%,4090000,55800000,0,0,2
13:50:08,44f1a5602e51,geo-diff-work_worker,13.82%,29318184,419430400,6.99%,4070000,55400000,4100,0,2
13:50:15,536c02ee1b72,geo-diff-work_worker,16.31%,29590814,419430400,7.06%,4760000,64599999,0,0,3
13:50:15,44f1a5602e51,geo-diff-work_worker,11.81%,29569843,419430400,7.05%,4700000,64000000,4100,0,2
13:50:23,536c02ee1b72,geo-diff-work_worker,13.93%,29779558,419430400,7.10%,5400000,71500000,0,0,3
13:50:23,44f1a5602e51,geo-diff-work_worker,14.82%,29811015,419430400,7.11%,5390000,71300000,4100,0,3
13:50:31,536c02ee1b72,geo-diff-work_worker,17.97%,29790044,419430400,7.10%,6220000,80600000,0,0,2
13:50:31,44f1a5602e51,geo-diff-work_worker,14.10%,30094131,419430400,7.17%,6200000,80100000,4100,0,3
13:50:38,536c02ee1b72,geo-diff-work_worker,14.51%,29978787,419430400,7.15%,6970000,90400000,0,0,3
13:50:38,44f1a5602e51,geo-diff-work_worker,9.93%,30104616,419430400,7.18%,6940000,89600000,4100,0,2
13:50:46,536c02ee1b72,geo-diff-work_worker,11.46%,29968302,419430400,7.15%,7540000,99700000,0,0,2
13:50:46,44f1a5602e51,geo-diff-work_worker,0.00%,30146560,419430400,7.19%,7620000,100000000,4100,0,2
13:50:53,6070136d3f27,geo-diff-work_worker,0.00%,28164751,419430400,6.72%,480000,5570000,0,0,2
13:50:53,536c02ee1b72,geo-diff-work_worker,10.00%,30450647,419430400,7.26%,8279999,110000000,0,0,2
13:50:53,44f1a5602e51,geo-diff-work_worker,0.00%,30356275,419430400,7.24%,8500000,112000000,4100,0,2
13:51:01,6070136d3f27,geo-diff-work_worker,3.50%,28657582,419430400,6.83%,1160000,13600000,0,0,2
13:51:01,536c02ee1b72,geo-diff-work_worker,3.82%,30450647,419430400,7.26%,8890000,117000000,0,0,2
13:51:01,44f1a5602e51,geo-diff-work_worker,14.87%,30639390,419430400,7.30%,9090000,119000000,4100,0,3
13:51:09,6070136d3f27,geo-diff-work_worker,15.96%,29024583,419430400,6.92%,1900000,22100000,0,0,2
13:51:09,536c02ee1b72,geo-diff-work_worker,16.76%,30660362,419430400,7.31%,9650000,125000000,0,0,3
13:51:09,44f1a5602e51,geo-diff-work_worker,12.71%,30733762,419430400,7.33%,9740000,126000000,4100,0,2
13:51:16,6070136d3f27,geo-diff-work_worker,14.29%,29139927,419430400,6.95%,2490000,29900000,0,0,2
13:51:16,536c02ee1b72,geo-diff-work_worker,11.71%,30723276,419430400,7.33%,10300000,134000000,0,0,2
13:51:16,44f1a5602e51,geo-diff-work_worker,14.55%,31006392,419430400,7.39%,10400000,134000000,4100,0,2
13:51:24,6070136d3f27,geo-diff-work_worker,13.75%,29244784,419430400,6.97%,3150000,39500000,0,0,3
13:51:24,536c02ee1b72,geo-diff-work_worker,14.14%,30828134,419430400,7.35%,10900000,142000000,0,0,2
13:51:24,44f1a5602e51,geo-diff-work_worker,12.13%,31090278,419430400,7.41%,10900000,143000000,4100,0,2
13:51:31,6070136d3f27,geo-diff-work_worker,14.61%,29307699,419430400,6.99%,3840000,49200000,0,0,2
13:51:31,536c02ee1b72,geo-diff-work_worker,13.76%,31100764,419430400,7.42%,11500000,151000000,0,0,3
13:51:31,44f1a5602e51,geo-diff-work_worker,12.22%,31310479,419430400,7.46%,11500000,152000000,4100,0,2
13:51:39,6070136d3f27,geo-diff-work_worker,13.35%,29433528,419430400,7.02%,4390000,55300000,0,0,2
13:51:39,536c02ee1b72,geo-diff-work_worker,14.54%,31121735,419430400,7.42%,12000000,157000000,0,0,3
13:51:39,44f1a5602e51,geo-diff-work_worker,12.36%,31310479,419430400,7.46%,12200000,159000000,4100,0,2
13:51:47,6070136d3f27,geo-diff-work_worker,13.32%,29632757,419430400,7.06%,5140000,62700000,0,0,2
13:51:47,536c02ee1b72,geo-diff-work_worker,13.32%,31310479,419430400,7.46%,12800000,165000000,0,0,2
13:51:47,44f1a5602e51,geo-diff-work_worker,12.81%,31499223,419430400,7.51%,12800000,165000000,4100,0,3
13:51:54,6070136d3f27,geo-diff-work_worker,12.82%,29653729,419430400,7.07%,5730000,70300000,0,0,2
13:51:54,536c02ee1b72,geo-diff-work_worker,12.39%,31331450,419430400,7.47%,13400000,173000000,0,0,3
13:51:54,44f1a5602e51,geo-diff-work_worker,12.33%,31782338,419430400,7.58%,13500000,172000000,4100,0,3
13:52:02,6070136d3f27,geo-diff-work_worker,10.37%,29653729,419430400,7.07%,6330000,79900000,0,0,2
13:52:02,536c02ee1b72,geo-diff-work_worker,10.65%,31383879,419430400,7.48%,13900000,182000000,0,0,2
13:52:02,44f1a5602e51,geo-diff-work_worker,0.00%,31876710,419430400,7.60%,14100000,182000000,4100,0,2
