UPTIME,CONTAINER ID,NAME,CPU %,MEM USAGE,MEM LIMIT,MEM %, NET I,NET O,BLOCK I,BLOCK O,PIDS
14:40:38,ca025bb3d4a6,geo-diff-work_updater,0.00%,12006195,209715200,5.72%,1240,368,3470000,0,2
14:40:38,496e845c64fc,geo-diff-work_worker,0.00%,29643243,419430400,7.07%,1240,368,19500000,0,2
14:40:38,2cf58bdf1b67,geo-diff-work_worker,0.00%,25553797,419430400,6.09%,1150,368,3180000,0,2
14:40:46,ca025bb3d4a6,geo-diff-work_updater,0.53%,12698255,209715200,6.06%,1590,642,3700000,0,2
14:40:46,496e845c64fc,geo-diff-work_worker,0.00%,29643243,419430400,7.07%,1480,410,19500000,0,2
14:40:46,2cf58bdf1b67,geo-diff-work_worker,0.00%,25553797,419430400,6.09%,1350,410,3180000,0,2
14:40:54,ca025bb3d4a6,geo-diff-work_updater,0.00%,12698255,209715200,6.06%,1870,684,3700000,0,2
14:40:54,496e845c64fc,geo-diff-work_worker,0.00%,30282874,419430400,7.22%,1870,684,19600000,0,2
14:40:54,2cf58bdf1b67,geo-diff-work_worker,0.00%,26277314,419430400,6.27%,1870,684,3330000,0,2
14:41:01,ca025bb3d4a6,geo-diff-work_updater,0.01%,12803112,209715200,6.11%,3720,2520,3700000,0,2
14:41:01,496e845c64fc,geo-diff-work_worker,0.01%,30377246,419430400,7.24%,3590,2300,19600000,0,2
14:41:01,2cf58bdf1b67,geo-diff-work_worker,0.00%,26382172,419430400,6.29%,3460,2300,3330000,0,2
14:41:09,ca025bb3d4a6,geo-diff-work_updater,0.00%,13159628,209715200,6.28%,14900,2920,3820000,0,2
14:41:09,496e845c64fc,geo-diff-work_worker,21.07%,34246492,419430400,8.16%,643000,6860000,19600000,0,2
14:41:09,2cf58bdf1b67,geo-diff-work_worker,0.00%,30303846,419430400,7.23%,671000,7100000,3330000,0,2
14:41:16,ca025bb3d4a6,geo-diff-work_updater,0.01%,13159628,209715200,6.28%,14900,2920,3820000,0,2
14:41:16,496e845c64fc,geo-diff-work_worker,9.60%,34319892,419430400,8.18%,1100000,14100000,19600000,0,2
14:41:16,2cf58bdf1b67,geo-diff-work_worker,15.28%,30335303,419430400,7.23%,1050000,13100000,3330000,0,2
14:41:24,ca025bb3d4a6,geo-diff-work_updater,0.00%,13159628,209715200,6.28%,14900,2920,3820000,0,2
