UPTIME,CONTAINER ID,NAME,CPU %,MEM USAGE,MEM LIMIT,MEM %, NET I,NET O,BLOCK I,BLOCK O,PIDS
16:26:10,5c16922ec935,geo-diff-work_dealer,33.13%,40936407,419430400,9.76%,275000,20200000,75100000,0,2
16:26:10,181a692fbe03,geo-diff-work_rabbitmq-server,155.29%,190945689,536870912,35.56%,314000000,234000000,152000000,254000000,88
16:26:10,b85bc0fbf724,geo-diff-work_admin-worker,72.70%,23110615,419430400,5.51%,317000,68100,7280000,0,5
16:26:10,01e1fd332acf,geo-diff-work_updater,60.32%,20405288,209715200,9.73%,106000000,234000,2960000,0,2
16:26:10,af29df2c835e,geo-diff-work_updater,106.29%,21674065,209715200,10.33%,105000000,223000,8540000,0,2
16:26:21,5c16922ec935,geo-diff-work_dealer,20.01%,39101399,419430400,9.32%,285000,20400000,75300000,0,2
16:26:21,181a692fbe03,geo-diff-work_rabbitmq-server,177.00%,223032115,536870912,41.54%,317000000,241000000,162000000,258000000,105
16:26:21,b85bc0fbf724,geo-diff-work_admin-worker,46.84%,22953328,419430400,5.47%,324000,70700,7280000,0,5
16:26:21,01e1fd332acf,geo-diff-work_updater,44.29%,18266193,209715200,8.71%,109000000,259000,2960000,0,2
16:26:21,af29df2c835e,geo-diff-work_updater,42.68%,20394803,209715200,9.72%,108000000,245000,8540000,0,2
16:26:32,5c16922ec935,geo-diff-work_dealer,12.61%,39090913,419430400,9.32%,301000,20600000,75600000,0,2
16:26:32,181a692fbe03,geo-diff-work_rabbitmq-server,114.75%,166199296,536870912,30.96%,319000000,252000000,164000000,259000000,86
16:26:32,b85bc0fbf724,geo-diff-work_admin-worker,55.48%,22963814,419430400,5.47%,337000,74900,7280000,0,5
16:26:32,01e1fd332acf,geo-diff-work_updater,69.35%,18654167,209715200,8.90%,114000000,288000,2960000,0,2
16:26:32,af29df2c835e,geo-diff-work_updater,45.56%,20656947,209715200,9.85%,114000000,280000,8540000,0,2
16:26:43,5c16922ec935,geo-diff-work_dealer,110.34%,39195770,419430400,9.34%,320000,21300000,76200000,0,2
16:26:43,181a692fbe03,geo-diff-work_rabbitmq-server,54.46%,154140672,536870912,28.71%,327000000,259000000,164000000,267000000,86
16:26:43,b85bc0fbf724,geo-diff-work_admin-worker,128.84%,22995271,419430400,5.48%,351000,79500,7280000,0,5
16:26:43,01e1fd332acf,geo-diff-work_updater,93.91%,18779996,209715200,8.95%,118000000,311000,2960000,0,2
16:26:43,af29df2c835e,geo-diff-work_updater,56.37%,20415774,209715200,9.73%,117000000,295000,8540000,0,2
16:26:53,5c16922ec935,geo-diff-work_dealer,37.03%,39153827,419430400,9.34%,339000,22200000,76900000,0,2
16:26:53,181a692fbe03,geo-diff-work_rabbitmq-server,148.66%,134637158,536870912,25.09%,340000000,271000000,164000000,280000000,86
16:26:53,b85bc0fbf724,geo-diff-work_admin-worker,79.71%,22995271,419430400,5.48%,365000,83200,7280000,0,5
16:26:53,01e1fd332acf,geo-diff-work_updater,53.22%,18790481,209715200,8.96%,123000000,337000,2960000,0,2
16:26:53,af29df2c835e,geo-diff-work_updater,95.07%,21044920,209715200,10.04%,123000000,324000,8540000,0,2
16:27:03,5c16922ec935,geo-diff-work_dealer,102.22%,39206256,419430400,9.35%,354000,23000000,77700000,0,2
16:27:03,181a692fbe03,geo-diff-work_rabbitmq-server,133.30%,131701145,536870912,24.53%,349000000,283000000,164000000,289000000,86
16:27:03,b85bc0fbf724,geo-diff-work_admin-worker,57.56%,23005757,419430400,5.49%,375000,86900,7280000,0,5
16:27:03,01e1fd332acf,geo-diff-work_updater,101.00%,18874368,209715200,9.00%,128000000,368000,2960000,0,2
16:27:03,af29df2c835e,geo-diff-work_updater,71.76%,21086863,209715200,10.06%,128000000,356000,8540000,0,2
16:27:13,5c16922ec935,geo-diff-work_dealer,59.59%,39248199,419430400,9.36%,372000,24000000,78500000,0,2
16:27:13,181a692fbe03,geo-diff-work_rabbitmq-server,124.10%,131806003,536870912,24.55%,361000000,295000000,164000000,301000000,86
16:27:13,b85bc0fbf724,geo-diff-work_admin-worker,71.30%,23026728,419430400,5.49%,386000,90900,7280000,0,5
16:27:13,01e1fd332acf,geo-diff-work_updater,97.08%,20101201,209715200,9.58%,134000000,402000,2960000,0,2
16:27:13,af29df2c835e,geo-diff-work_updater,80.61%,21202206,209715200,10.11%,133000000,382000,8540000,0,2
16:27:24,5c16922ec935,geo-diff-work_dealer,61.34%,39384514,419430400,9.39%,389000,24800000,79100000,0,2
16:27:24,181a692fbe03,geo-diff-work_rabbitmq-server,149.03%,119223091,536870912,22.20%,372000000,306000000,164000000,312000000,86
16:27:24,b85bc0fbf724,geo-diff-work_admin-worker,35.08%,23047700,419430400,5.49%,398000,94300,7280000,0,5
16:27:24,01e1fd332acf,geo-diff-work_updater,81.08%,19734200,209715200,9.41%,139000000,435000,2960000,0,2
16:27:24,af29df2c835e,geo-diff-work_updater,71.82%,20992491,209715200,10.01%,138000000,407000,8540000,0,2
16:27:34,5c16922ec935,geo-diff-work_dealer,51.76%,39594229,419430400,9.44%,408000,25600000,79800000,0,2
16:27:34,181a692fbe03,geo-diff-work_rabbitmq-server,131.95%,119223091,536870912,22.21%,382000000,316000000,164000000,322000000,88
16:27:34,b85bc0fbf724,geo-diff-work_admin-worker,59.95%,23110615,419430400,5.51%,411000,98100,7280000,0,5
16:27:34,01e1fd332acf,geo-diff-work_updater,81.09%,19639828,209715200,9.37%,144000000,466000,2960000,0,2
16:27:34,af29df2c835e,geo-diff-work_updater,74.32%,21118320,209715200,10.07%,143000000,433000,8540000,0,2
16:27:44,5c16922ec935,geo-diff-work_dealer,15.49%,39699087,419430400,9.47%,424000,26200000,80300000,0,2
16:27:44,181a692fbe03,geo-diff-work_rabbitmq-server,181.22%,149317222,536870912,27.81%,389000000,322000000,164000000,328000000,105
16:27:44,b85bc0fbf724,geo-diff-work_admin-worker,29.89%,23110615,419430400,5.51%,423000,102000,7280000,0,5
16:27:44,01e1fd332acf,geo-diff-work_updater,17.44%,20583546,209715200,9.81%,147000000,481000,2960000,0,2
16:27:44,af29df2c835e,geo-diff-work_updater,57.44%,21338521,209715200,10.17%,145000000,446000,8540000,0,2
16:27:55,5c16922ec935,geo-diff-work_dealer,0.00%,39720058,419430400,9.47%,433000,26400000,80500000,0,2
16:27:55,181a692fbe03,geo-diff-work_rabbitmq-server,13.10%,123522252,536870912,23.01%,391000000,325000000,164000000,331000000,84
16:27:55,b85bc0fbf724,geo-diff-work_admin-worker,0.01%,23121100,419430400,5.51%,429000,104000,7280000,0,5
16:27:55,01e1fd332acf,geo-diff-work_updater,0.00%,20248002,209715200,9.65%,148000000,492000,2960000,0,2
16:27:55,af29df2c835e,geo-diff-work_updater,0.12%,21380464,209715200,10.20%,147000000,458000,8540000,0,2
16:29:49,2a58f50b3a6f,geo-diff-work_dealer,110.10%,3268411,419430400,0.78%,586,0,545000,0,2
16:29:49,ea697c0c1747,geo-diff-work_updater,83.71%,4608491,209715200,2.20%,586,0,1730000,0,2
16:29:49,7fae51c926db,geo-diff-work_updater,59.44%,5595201,209715200,2.67%,586,0,3500000,0,2
16:29:49,095b86087708,geo-diff-work_admin-worker,45.20%,6143606,419430400,1.46%,586,0,3810000,0,2
16:30:01,7fae51c926db,geo-diff-work_updater,50.19%,14900264,209715200,7.11%,974,232,6800000,0,2
16:30:01,ea697c0c1747,geo-diff-work_updater,50.09%,13914603,209715200,6.63%,974,232,3540000,0,2
16:30:01,2a58f50b3a6f,geo-diff-work_dealer,33.08%,13967032,419430400,3.33%,866,0,4120000,0,2
16:30:01,021046160c95,geo-diff-work_rabbitmq-server,38.70%,7712276,536870912,1.44%,586,0,9740000,0,1
16:30:01,095b86087708,geo-diff-work_admin-worker,96.25%,15508439,419430400,3.70%,866,0,7100000,0,2
16:30:13,7fae51c926db,geo-diff-work_updater,0.67%,14931722,209715200,7.12%,1800,464,6800000,0,2
16:30:13,ea697c0c1747,geo-diff-work_updater,0.59%,13935575,209715200,6.64%,1870,464,3540000,0,2
16:30:13,2a58f50b3a6f,geo-diff-work_dealer,32.61%,25113395,419430400,5.99%,1500,0,10500000,0,2
16:30:13,021046160c95,geo-diff-work_rabbitmq-server,129.99%,43452989,536870912,8.09%,4130,2660,18000000,0,83
16:30:13,095b86087708,geo-diff-work_admin-worker,0.00%,25197281,419430400,6.01%,1780,380,9760000,0,5
